# THIS FILE IS GENERATED BY BUILD/assemble.sh
# DO NOT EDIT THIS FILE DIRECTLY. EDIT THE .DAT FILES IN THE /BUILD/ FOLDER THEN RUN assemble.sh

# type, idx, name, hp restored, mp restored, soft reserve limit, hard reserve limit, effects removed, effects gained

clan	0	A Relaxing Hot Tub	ALL	0	5	2	All Negative	none
item	25	ancient Magi-Wipes	55	55	0	0	none	none
item	26	cotton candy pillow	51	51	0	0	none	none
item	27	phonics down	48	48	0	0	none	Tingly Wrists,Tingly Biceps,Tingly Elbows
item	28	cotton candy cone	39	39	0	0	none	none
item	29	honey-dipped locust	35	35	0	0	none	none
item	30	cotton candy plug	28	28	0	0	none	none
item	31	comfy pillow	25	0	0	0	none	none
item	32	cotton candy skoshe	22	22	0	0	none	none
item	33	tiny house	22	22	0	0	Beaten Up,Confused,Embarrassed,Hardly Poisoned at All,Sleepy,Sunburned,Wussiness	none
item	34	cotton candy smidgen	17	17	0	0	none	none
item	35	dueling turtle	15	15	0	0	none	none
item	36	sugar shard	15	7	0	0	none	none
item	37	cotton candy pinch	11	11	0	0	none	none
item	38	pixellated candy heart	4	0	0	0	none	none
item	39	your own black heart	ALL	ALL	0	0	Beaten Up	none
item	40	Egnaro berry	0	HALF	0	0	none	Berry Experiential
item	41	CSA all purpose soap	0	1000	0	0	All Negative	none
item	42	Wolfman Nardz	0	250	0	0	none	none
item	43	high pressure seltzer bottle	0	175	0	0	none	none
item	44	Cloaca Cola Polar	0	150	0	0	none	Polar Express
item	45	natural fennel soda	0	100	0	0	none	none
item	46	can of CRIMBCOLA	0	90	0	0	none	none
item	47	Monstar energy beverage	0	75	0	0	none	none
item	48	carbonated soy milk	0	75	0	0	none	none
item	49	carbonated water lily	0	65	0	0	none	none
item	50	blue pixel potion	0	65	0	0	none	none
item	51	Nardz energy beverage	0	60	0	0	none	none
item	52	bottle of Monsieur Bubble	0	55	0	0	none	none
item	53	unrefined Mountain Stream syrup	0	55	0	0	none	none
item	54	banana spritzer	0	70	0	0	none	none
item	55	elven magi pack	0	45	0	0	none	none
item	56	myrrh soaked, chocolate covered bacon bath ball	0	37	0	0	none	Pork Power,[800]Chocolate Reign,Incensed
item	57	creepy ginger ale	0	40	0	0	none	none
item	58	grogpagne	0	40	0	0	none	none
item	59	tonic water	0	40	0	0	none	none
item	60	Marquis de Poivre soda	0	35	0	0	none	none
item	61	Mountain Stream soda	0	35	0	0	none	none
item	62	Knob Goblin superseltzer	0	27	0	0	none	none
item	63	Blatantly Canadian	0	27	0	0	none	none
item	64	beer scented teddy bear	0	17	0	0	none	none
item	65	Knob Goblin seltzer	0	10	0	0	none	none
item	66	black cherry soda	0	10	0	0	none	none
item	67	Doc Galaktik's Invigorating Tonic	0	10	0	0	none	none
item	68	Cherry Cloaca Cola	0	8	0	0	none	none
item	69	Diet Cloaca Cola	0	8	0	0	none	none
item	70	Regular Cloaca Cola	0	8	0	0	none	none
item	71	natto marble soda	0	7	0	0	none	none
item	72	tobiko marble soda	0	7	0	0	none	none
item	73	wasabi marble soda	0	7	0	0	none	none
item	74	soda water	0	4	0	0	none	none
item	75	Wint-O-Fresh mint	0	4	0	0	none	none
item	76	magical mystery juice	0	scaling	0	0	none	none
item	77	generic mana potion	0	scaling	0	0	none	none
item	78	Psychokinetic Energy Blob	0	25	0	0	none	none
## Actually Ed the Undying restores
item	79	Holy Spring Water	0	50	0	0	none	Spiritually Awake
item	80	Spirit Beer	0	90	0	0	none	Spiritually Aware
item	81	Sacramental Wine	0	180	0	0	none	Spiritually Awash

skill	0	Tongue of the Walrus	35	0	0	0	Beaten Up	none
skill	1	Cannelloni Cocoon	1000	0	0	0	none	none
skill	2	Shake it Off	ALL	0	0	0	All Negative	none
skill	3	Gelatinous Reconstruction	13	0	0	0	Beaten Up	none
skill	4	Disco Nap	20	0	0	0	none	none
skill	5	Lasagna Bandages	20	0	0	0	none	none

